gene,condition,neighbor,neighbor_condition,similarity,rank
TAF11,Stim8hr,BTAF1,Stim8hr,0.383,2
TAF11,Stim8hr,ATF4,Stim8hr,0.3591,3
TAF11,Stim8hr,PDSS2,Stim8hr,0.3522,4
TAF11,Stim8hr,KHDRBS1,Stim8hr,0.3495,5
TAF11,Stim8hr,EIF4G1,Stim8hr,0.3396,6
TAF11,Stim8hr,POGLUT3,Stim8hr,0.329,7
TAF11,Stim8hr,COX6C,Stim8hr,0.3033,8
CASC3,Stim8hr,SMG1,Stim8hr,0.5467,1
CASC3,Stim8hr,SMG7,Stim8hr,0.4812,2
CASC3,Stim8hr,ZNF649,Stim48hr,0.2117,3
CASC3,Stim8hr,ITPR1,Stim48hr,0.2051,4
CASC3,Stim8hr,DUSP22,Stim48hr,0.2009,5
CASC3,Stim8hr,DLG4,Rest,0.1884,6
CASC3,Stim8hr,HDGF,Stim48hr,0.1883,7
CASC3,Stim8hr,HNRNPUL2,Stim48hr,0.1847,8
NAA30,Stim8hr,UBE2L3,Stim8hr,0.3678,1
NAA30,Stim8hr,GLIPR2,Stim8hr,0.307,2
NAA30,Stim8hr,TRAF3,Stim8hr,0.2991,3
NAA30,Stim8hr,TESPA1,Stim8hr,0.2702,4
NAA30,Stim8hr,SENP5,Stim8hr,0.2571,5
NAA30,Stim8hr,ATAD5,Rest,0.2549,6
NAA30,Stim8hr,NCAPG2,Stim8hr,0.2497,7
NAA30,Stim8hr,TAF6L,Stim8hr,0.2319,8
STRAP,Rest,DHX36,Rest,0.2842,1
STRAP,Rest,HDGF,Stim48hr,0.2081,2
STRAP,Rest,EWSR1,Rest,0.1988,3
STRAP,Rest,EIF4G2,Stim8hr,0.1953,4
STRAP,Rest,YTHDF2,Stim48hr,0.191,5
STRAP,Rest,APAF1,Rest,0.1898,6
STRAP,Rest,CD53,Stim8hr,0.188,7
STRAP,Rest,ELAVL1,Stim8hr,0.1829,8
EHMT2,Rest,MOSPD1,Rest,0.2884,1
EHMT2,Rest,EWSR1,Rest,0.2604,2
EHMT2,Rest,MED15,Rest,0.1923,3
EHMT2,Rest,HAVCR2,Rest,0.172,4
EHMT2,Rest,LEO1,Rest,0.171,5
EHMT2,Rest,CCDC117,Rest,0.1666,6
EHMT2,Rest,SETDB1,Rest,0.164,7
EHMT2,Rest,KPTN,Stim8hr,0.1535,8
EWSR1,Rest,MOSPD1,Rest,0.3378,1
EWSR1,Rest,MED15,Rest,0.3188,2
EWSR1,Rest,DHX36,Rest,0.2623,3
EWSR1,Rest,FH,Rest,0.2613,4
EWSR1,Rest,EHMT2,Rest,0.2604,5
EWSR1,Rest,PMVK,Stim48hr,0.2361,6
EWSR1,Rest,MRC2,Stim48hr,0.2313,7
EWSR1,Rest,SETDB1,Rest,0.2176,8
MYB,Rest,AHR,Rest,0.3649,1
MYB,Rest,PTEN,Rest,0.3356,2
MYB,Rest,NCKAP1L,Rest,0.3252,3
MYB,Rest,ZMYM2,Rest,0.2866,4
MYB,Rest,UBXN1,Rest,0.2831,5
MYB,Rest,BPNT1,Rest,0.28,6
MYB,Rest,KLF2,Rest,0.2724,7
MYB,Rest,GABARAPL1,Rest,0.2575,8
BHLHE40,Stim8hr,ZNF649,Stim48hr,0.6476,1
BHLHE40,Stim8hr,ITPR1,Stim48hr,0.6111,2
BHLHE40,Stim8hr,PDCL,Stim48hr,0.6071,3
BHLHE40,Stim8hr,ARFGEF2,Stim8hr,0.5949,4
BHLHE40,Stim8hr,ARRDC1,Rest,0.5863,5
BHLHE40,Stim8hr,TM2D1,Stim48hr,0.5628,6
BHLHE40,Stim8hr,CRTC3,Stim8hr,0.5612,7
BHLHE40,Stim8hr,EGR2,Stim8hr,0.5495,8
HCCS,Stim8hr,PDSS2,Stim8hr,0.6776,1
HCCS,Stim8hr,COX6C,Stim8hr,0.6133,2
HCCS,Stim8hr,PRKAR1A,Stim8hr,0.3503,3
HCCS,Stim8hr,ATF4,Stim8hr,0.3207,4
HCCS,Stim8hr,RTRAF,Stim8hr,0.3016,5
HCCS,Stim8hr,CPSF6,Stim8hr,0.2776,6
HCCS,Stim8hr,PPIH,Stim8hr,0.2605,7
HCCS,Stim8hr,EIF4G1,Stim8hr,0.2535,8
RTRAF,Stim8hr,DDX1,Stim8hr,0.7996,1
RTRAF,Stim8hr,ELP1,Stim8hr,0.5404,2
RTRAF,Stim8hr,SLC35B1,Stim8hr,0.4659,3
RTRAF,Stim8hr,MPI,Stim8hr,0.3951,4
RTRAF,Stim8hr,ATF4,Stim8hr,0.3669,5
RTRAF,Stim8hr,EIF4G1,Stim8hr,0.3652,6
RTRAF,Stim8hr,PDSS2,Stim8hr,0.3323,7
RTRAF,Stim8hr,PRKAR1A,Stim8hr,0.3262,8
STIP1,Stim48hr,SGF29,Stim48hr,0.4825,1
STIP1,Stim48hr,CCNC,Stim48hr,0.3184,2
STIP1,Stim48hr,IL2RB,Stim48hr,0.2807,3
STIP1,Stim48hr,SIK3,Stim48hr,0.2638,4
STIP1,Stim48hr,AHR,Rest,0.2595,5
STIP1,Stim48hr,DOP1B,Stim48hr,0.2266,6
STIP1,Stim48hr,GATA3,Stim48hr,0.2194,7
STIP1,Stim48hr,ARNT,Stim48hr,0.2147,8
BRPF1,Stim8hr,ATXN7L3,Stim8hr,0.2937,1
BRPF1,Stim8hr,USP22,Stim8hr,0.2275,2
BRPF1,Stim8hr,KPTN,Stim8hr,0.2067,3
BRPF1,Stim8hr,TMBIM4,Stim8hr,0.2002,4
BRPF1,Stim8hr,FZD6,Stim8hr,0.1444,5
BRPF1,Stim8hr,CHD7,Stim8hr,0.1381,6
BRPF1,Stim8hr,LARP4,Stim48hr,0.1372,7
BRPF1,Stim8hr,GPI,Stim48hr,0.1306,8
PDCL,Stim48hr,ZNF649,Stim48hr,0.6646,1
PDCL,Stim48hr,DOP1B,Stim48hr,0.6608,2
PDCL,Stim48hr,ITPR1,Stim48hr,0.6434,3
PDCL,Stim48hr,BHLHE40,Stim8hr,0.6071,4
PDCL,Stim48hr,ARRDC1,Rest,0.597,5
PDCL,Stim48hr,TAOK2,Rest,0.5751,6
PDCL,Stim48hr,PIK3C2A,Stim48hr,0.5634,7
PDCL,Stim48hr,MAGI3,Stim48hr,0.5623,8
NCOR1,Stim48hr,NEU1,Stim48hr,0.2801,1
NCOR1,Stim48hr,RRAGA,Stim48hr,0.2776,2
NCOR1,Stim48hr,MBOAT7,Stim48hr,0.2513,3
NCOR1,Stim48hr,CCDC117,Rest,0.2217,4
NCOR1,Stim48hr,ERCC4,Stim48hr,0.2178,5
NCOR1,Stim48hr,ELAVL1,Stim8hr,0.2171,6
NCOR1,Stim48hr,RILPL2,Stim48hr,0.2169,7
NCOR1,Stim48hr,MTR,Stim8hr,0.2105,8
GATA3,Stim48hr,ZNF649,Stim48hr,0.4057,1
GATA3,Stim48hr,IL2RB,Stim48hr,0.3744,2
GATA3,Stim48hr,BHLHE40,Stim8hr,0.3612,3
GATA3,Stim48hr,PDCL,Stim48hr,0.361,4
GATA3,Stim48hr,SGF29,Stim48hr,0.3442,5
GATA3,Stim48hr,DOP1B,Stim48hr,0.3383,6
GATA3,Stim48hr,INSR,Rest,0.3199,7
GATA3,Stim48hr,TAOK2,Rest,0.3098,8
NCAPG2,Stim8hr,EIF1AX,Stim8hr,0.7418,1
NCAPG2,Stim8hr,CD3E,Stim8hr,0.5799,2
NCAPG2,Stim8hr,PLCG1,Stim8hr,0.5759,3
NCAPG2,Stim8hr,ZAP70,Stim8hr,0.5587,4
NCAPG2,Stim8hr,ATF7IP2,Stim8hr,0.5572,5
NCAPG2,Stim8hr,LAT,Stim8hr,0.5568,6
NCAPG2,Stim8hr,MED19,Stim8hr,0.5488,7
NCAPG2,Stim8hr,TESPA1,Stim8hr,0.521,8
PRKAR1A,Stim8hr,PDSS2,Stim8hr,0.4333,1
PRKAR1A,Stim8hr,ATF4,Stim8hr,0.3903,2
PRKAR1A,Stim8hr,CPSF6,Stim8hr,0.3858,3
PRKAR1A,Stim8hr,COX6C,Stim8hr,0.3833,4
PRKAR1A,Stim8hr,EIF4G1,Stim8hr,0.3722,5
PRKAR1A,Stim8hr,HCCS,Stim8hr,0.3503,6
PRKAR1A,Stim8hr,MTA2,Stim8hr,0.3267,7
PRKAR1A,Stim8hr,RTRAF,Stim8hr,0.3262,8
TRAF3,Stim8hr,NAA30,Stim8hr,0.2991,1
TRAF3,Stim8hr,RPTOR,Stim8hr,0.2813,2
TRAF3,Stim8hr,TESPA1,Stim8hr,0.2636,3
TRAF3,Stim8hr,EIF1AX,Stim8hr,0.2159,4
TRAF3,Stim8hr,ATAD5,Rest,0.1764,5
TRAF3,Stim8hr,NCKAP1L,Rest,0.1629,6
TRAF3,Stim8hr,HCCS,Stim8hr,0.1626,7
TRAF3,Stim8hr,PRKAR1A,Stim8hr,0.1535,8
PAXIP1,Stim48hr,DOP1B,Stim48hr,0.5613,1
PAXIP1,Stim48hr,CCNC,Stim48hr,0.484,2
PAXIP1,Stim48hr,PPM1L,Rest,0.482,3
PAXIP1,Stim48hr,ITPR1,Stim48hr,0.4794,4
PAXIP1,Stim48hr,TM2D1,Stim48hr,0.4669,5
PAXIP1,Stim48hr,PDCL,Stim48hr,0.4639,6
PAXIP1,Stim48hr,ZNF649,Stim48hr,0.4628,7
PAXIP1,Stim48hr,TAOK2,Rest,0.4555,8
NCKAP1L,Rest,UBXN1,Rest,0.8254,1
NCKAP1L,Rest,DYNC2H1,Rest,0.8028,2
NCKAP1L,Rest,ZMYM2,Rest,0.7985,3
NCKAP1L,Rest,PPM1L,Rest,0.7574,4
NCKAP1L,Rest,GABARAPL1,Rest,0.7388,5
NCKAP1L,Rest,BPNT1,Rest,0.7293,6
NCKAP1L,Rest,DLG4,Rest,0.7007,7
NCKAP1L,Rest,INSR,Rest,0.6777,8
DOP1B,Stim48hr,TM2D1,Stim48hr,0.7107,1
DOP1B,Stim48hr,ZNF649,Stim48hr,0.6951,2
DOP1B,Stim48hr,PDCL,Stim48hr,0.6608,3
DOP1B,Stim48hr,ITPR1,Stim48hr,0.6594,4
DOP1B,Stim48hr,PPM1L,Rest,0.6049,5
DOP1B,Stim48hr,BPNT1,Rest,0.5975,6
DOP1B,Stim48hr,TAOK2,Rest,0.5936,7
DOP1B,Stim48hr,MAGI3,Stim48hr,0.5935,8
POGLUT3,Stim8hr,MED19,Stim8hr,0.7499,1
POGLUT3,Stim8hr,MED1,Stim8hr,0.666,2
POGLUT3,Stim8hr,MED12,Stim8hr,0.6482,3
POGLUT3,Stim8hr,SENP5,Stim8hr,0.509,4
POGLUT3,Stim8hr,SUPT20H,Stim8hr,0.5014,5
POGLUT3,Stim8hr,SUPT7L,Stim8hr,0.4989,6
POGLUT3,Stim8hr,TADA2B,Stim8hr,0.4864,7
POGLUT3,Stim8hr,CHD7,Stim8hr,0.4773,8
ZAP70,Stim8hr,LAT,Stim8hr,0.9541,1
ZAP70,Stim8hr,CD3E,Stim8hr,0.9517,2
ZAP70,Stim8hr,PLCG1,Stim8hr,0.9495,3
ZAP70,Stim8hr,LCK,Stim8hr,0.8408,4
ZAP70,Stim8hr,PGGT1B,Stim8hr,0.8294,5
ZAP70,Stim8hr,FZD6,Stim8hr,0.801,6
ZAP70,Stim8hr,UBE2E2,Stim8hr,0.7525,7
ZAP70,Stim8hr,EFR3A,Stim8hr,0.5806,8
TFAM,Stim48hr,MIPEP,Stim48hr,0.8208,1
TFAM,Stim48hr,TWNK,Stim48hr,0.7303,2
TFAM,Stim48hr,OXA1L,Stim48hr,0.6889,3
TFAM,Stim48hr,ATP5PO,Stim48hr,0.6325,4
TFAM,Stim48hr,PMVK,Stim48hr,0.5988,5
TFAM,Stim48hr,RBM10,Stim48hr,0.479,6
TFAM,Stim48hr,ACTR2,Stim48hr,0.4554,7
TFAM,Stim48hr,MRC2,Stim48hr,0.4209,8
LCK,Stim8hr,PLCG1,Stim8hr,0.8674,1
LCK,Stim8hr,LAT,Stim8hr,0.8591,2
LCK,Stim8hr,CD3E,Stim8hr,0.8545,3
LCK,Stim8hr,ZAP70,Stim8hr,0.8408,4
LCK,Stim8hr,PGGT1B,Stim8hr,0.795,5
LCK,Stim8hr,FZD6,Stim8hr,0.7843,6
LCK,Stim8hr,UBE2E2,Stim8hr,0.6912,7
LCK,Stim8hr,EFR3A,Stim8hr,0.5788,8
ATXN7L3,Stim8hr,USP22,Stim8hr,0.6115,1
ATXN7L3,Stim8hr,BRPF1,Stim8hr,0.2937,2
ATXN7L3,Stim8hr,PGGT1B,Stim8hr,0.2597,3
ATXN7L3,Stim8hr,PLCG1,Stim8hr,0.2528,4
ATXN7L3,Stim8hr,EFR3A,Stim8hr,0.2409,5
ATXN7L3,Stim8hr,ZAP70,Stim8hr,0.2294,6
ATXN7L3,Stim8hr,UBE2E2,Stim8hr,0.2287,7
ATXN7L3,Stim8hr,NCAPG2,Stim8hr,0.2278,8
EIF4G1,Stim8hr,ATF4,Stim8hr,0.5719,1
EIF4G1,Stim8hr,UFM1,Stim8hr,0.3827,2
EIF4G1,Stim8hr,PDSS2,Stim8hr,0.3826,3
EIF4G1,Stim8hr,PRKAR1A,Stim8hr,0.3722,4
EIF4G1,Stim8hr,RTRAF,Stim8hr,0.3652,5
EIF4G1,Stim8hr,TAF11,Stim8hr,0.3396,6
EIF4G1,Stim8hr,UBR5,Stim8hr,0.3288,7
EIF4G1,Stim8hr,TXNL4B,Stim8hr,0.3097,8
SIK3,Stim48hr,RRAGA,Stim48hr,0.5185,1
SIK3,Stim48hr,CLCC1,Stim48hr,0.5106,2
SIK3,Stim48hr,GPI,Stim48hr,0.4659,3
SIK3,Stim48hr,LAMTOR2,Stim48hr,0.4272,4
SIK3,Stim48hr,PKN3,Stim48hr,0.3988,5
SIK3,Stim48hr,ERCC4,Stim48hr,0.3733,6
SIK3,Stim48hr,CD3E,Stim8hr,0.3706,7
SIK3,Stim48hr,LAT,Stim8hr,0.3616,8
GPI,Stim48hr,RRAGA,Stim48hr,0.474,1
GPI,Stim48hr,SIK3,Stim48hr,0.4659,2
GPI,Stim48hr,STAT3,Stim48hr,0.4187,3
GPI,Stim48hr,LAMTOR2,Stim48hr,0.3854,4
GPI,Stim48hr,CLCC1,Stim48hr,0.2895,5
GPI,Stim48hr,KDM1A,Stim48hr,0.2612,6
GPI,Stim48hr,ELOF1,Stim48hr,0.2401,7
GPI,Stim48hr,ERCC4,Stim48hr,0.2218,8
CLCC1,Stim48hr,SIK3,Stim48hr,0.5106,1
CLCC1,Stim48hr,CD3E,Stim8hr,0.4945,2
CLCC1,Stim48hr,PLCG1,Stim8hr,0.4662,3
CLCC1,Stim48hr,LAT,Stim8hr,0.4645,4
CLCC1,Stim48hr,RRAGA,Stim48hr,0.4519,5
CLCC1,Stim48hr,PKN3,Stim48hr,0.4464,6
CLCC1,Stim48hr,ZAP70,Stim8hr,0.434,7
CLCC1,Stim48hr,NCAPG2,Stim8hr,0.4255,8
TP53INP2,Stim48hr,ARNT,Stim48hr,0.8543,1
TP53INP2,Stim48hr,AHR,Rest,0.3112,2
TP53INP2,Stim48hr,STIP1,Stim48hr,0.2029,3
TP53INP2,Stim48hr,DOP1B,Stim48hr,0.1688,4
TP53INP2,Stim48hr,PDCL,Stim48hr,0.1678,5
TP53INP2,Stim48hr,CFAP298,Stim8hr,0.1437,6
TP53INP2,Stim48hr,MAGI3,Stim48hr,0.1428,7
TP53INP2,Stim48hr,CCNC,Stim48hr,0.1385,8
COX6C,Stim8hr,PDSS2,Stim8hr,0.7459,1
COX6C,Stim8hr,HCCS,Stim8hr,0.6133,2
COX6C,Stim8hr,ATF4,Stim8hr,0.4749,3
COX6C,Stim8hr,KHDRBS1,Stim8hr,0.4479,4
COX6C,Stim8hr,PPIH,Stim8hr,0.414,5
COX6C,Stim8hr,CPSF6,Stim8hr,0.4135,6
COX6C,Stim8hr,CFAP298,Stim8hr,0.4095,7
COX6C,Stim8hr,PRKAR1A,Stim8hr,0.3833,8
COG6,Stim8hr,EIF1AX,Stim8hr,0.4187,1
COG6,Stim8hr,NCAPG2,Stim8hr,0.3987,2
COG6,Stim8hr,LAT,Stim8hr,0.398,3
COG6,Stim8hr,CD3E,Stim8hr,0.393,4
COG6,Stim8hr,DOLPP1,Stim8hr,0.3789,5
COG6,Stim8hr,ZAP70,Stim8hr,0.3773,6
COG6,Stim8hr,PLCG1,Stim8hr,0.3627,7
COG6,Stim8hr,FZD6,Stim8hr,0.3351,8
CFAP298,Stim8hr,UBXN1,Rest,0.5141,1
CFAP298,Stim8hr,PPIH,Stim8hr,0.5038,2
CFAP298,Stim8hr,STARD3,Stim8hr,0.4955,3
CFAP298,Stim8hr,CPSF6,Stim8hr,0.4597,4
CFAP298,Stim8hr,ARRDC1,Rest,0.4536,5
CFAP298,Stim8hr,ZMYM2,Rest,0.4519,6
CFAP298,Stim8hr,KHDRBS1,Stim8hr,0.4482,7
CFAP298,Stim8hr,ZNF649,Stim48hr,0.4442,8
LAMTOR2,Stim48hr,RRAGA,Stim48hr,0.7987,1
LAMTOR2,Stim48hr,SIK3,Stim48hr,0.4272,2
LAMTOR2,Stim48hr,CLCC1,Stim48hr,0.4174,3
LAMTOR2,Stim48hr,GPI,Stim48hr,0.3854,4
LAMTOR2,Stim48hr,ACTR2,Stim48hr,0.3558,5
LAMTOR2,Stim48hr,ERCC4,Stim48hr,0.3428,6
LAMTOR2,Stim48hr,CD3E,Stim8hr,0.3221,7
LAMTOR2,Stim48hr,RHOA,Stim48hr,0.3197,8
RPTOR,Stim8hr,LAMTOR2,Stim48hr,0.294,1
RPTOR,Stim8hr,TRAF3,Stim8hr,0.2813,2
RPTOR,Stim8hr,RRAGA,Stim48hr,0.2426,3
